Species,Cladename,wing_length,tail_length,tarsus_length,middle_toe_length,bill_length,bill_width,bill_depth
Acanthiza chrysorrhoa,basal_oscine,59.0,40.0,18.0,11.2,10.7,3.9,2.9
Acanthiza lineata,basal_oscine,51.0,37.0,17.0,10.8,6.7,2.7,2.5
Acanthiza pusilla,basal_oscine,52.0,43.0,20.1,11.0,8.2,3.0,2.2
Acanthiza reguloides,basal_oscine,52.0,38.0,17.6,10.9,8.3,2.9,2.2
Acanthorhynchus tenuirostris,basal_oscine,65.0,60.0,17.4,13.0,22.8,3.8,3.5
Ailuroedus buccoides,basal_oscine,131.4,85.3,37.3,25.2,29.7,14.1,13.9
Ailuroedus crassirostris,basal_oscine,156.3,110.0,45.7,30.4,32.1,16.6,16.6
Ailuroedus melanotis,basal_oscine,170.0,130.0,48.3,33.5,39.0,18.5,19.5
Amblyornis inornata,basal_oscine,129.5,107.0,35.3,24.4,29.0,14.9,12.3
Amblyornis macgregoriae,basal_oscine,139.3,104.0,37.8,25.3,25.9,12.5,10.9
Amblyornis subalaris,basal_oscine,122.5,80.5,35.9,25.6,21.7,10.5,10.0
Amytornis housei,basal_oscine,73.5,90.5,26.8,16.7,18.1,7.7,6.4
Amytornis purnelli,basal_oscine,63.5,76.0,25.8,16.8,16.4,6.2,5.3
Amytornis striatus,basal_oscine,61.3,85.3,24.7,14.9,14.5,6.3,5.4
Amytornis textilis,basal_oscine,62.0,84.0,24.5,16.1,13.2,7.9,7.1
Amytornis woodwardi,basal_oscine,77.5,106.0,28.8,19.0,20.7,8.3,7.0
Anthochaera carunculata,basal_oscine,154.0,165.0,32.1,25.2,26.3,8.0,7.6
Anthochaera chrysoptera,basal_oscine,126.0,140.0,28.0,18.6,31.1,10.2,9.1
Anthornis melanura,basal_oscine,87.0,76.0,24.8,16.7,20.9,6.8,5.5
Aphelocephala leucopsis,basal_oscine,61.0,45.0,18.6,11.9,9.8,5.2,4.6
Atrichornis clamosus,basal_oscine,82.0,105.0,25.3,22.2,19.3,7.8,7.2
Atrichornis rufescens,basal_oscine,61.5,62.5,22.1,19.7,16.4,6.4,5.4
Chlamydera cerviniventris,basal_oscine,138.5,113.0,42.1,32.3,28.8,13.5,11.3
Chlamydera lauterbachi,basal_oscine,129.0,103.7,38.7,28.8,24.1,12.2,10.7
Chlamydera maculata,basal_oscine,146.0,110.0,41.0,29.1,31.0,15.1,13.0
Chlamydera nuchalis,basal_oscine,164.0,132.5,45.8,32.5,31.6,13.7,11.9
Chthonicola sagittatus,basal_oscine,59.0,47.0,19.0,13.8,10.2,3.7,3.5
Climacteris erythrops,basal_oscine,88.5,63.0,23.9,20.1,21.1,6.8,5.1
Climacteris picumnus,basal_oscine,93.0,67.0,25.2,20.6,16.8,5.4,4.7
Climacteris rufus,basal_oscine,89.5,59.5,23.5,19.3,19.2,6.5,4.3
Cormobates leucophaea,basal_oscine,91.5,62.3,22.9,21.5,19.9,5.4,4.2
Crateroscelis murina,basal_oscine,59.0,38.0,23.0,12.8,15.9,4.9,3.6
Crateroscelis robusta,basal_oscine,56.0,29.0,25.1,15.6,15.2,6.2,4.6
Dasyornis brachypterus,basal_oscine,78.0,99.8,25.9,20.1,17.6,8.4,7.1
Dasyornis broadbenti,basal_oscine,102.0,126.5,36.0,23.0,24.2,9.1,8.0
Dasyornis longirostris,basal_oscine,73.5,96.5,25.6,19.2,19.1,7.5,6.7
Epthianura aurifrons,basal_oscine,67.5,37.0,19.0,12.5,13.9,4.8,4.0
Epthianura tricolor,basal_oscine,68.0,36.0,19.7,12.4,16.9,5.1,4.0
Gerygone chrysogaster,basal_oscine,53.0,35.0,15.4,7.8,12.1,3.9,3.0
Gerygone olivacea,basal_oscine,59.0,43.0,17.0,10.6,10.7,4.3,3.4
Glycichaera fallax,basal_oscine,57.0,39.0,17.8,9.8,12.9,4.8,2.9
Hylacola pyrrhopygia,basal_oscine,53.5,66.0,23.2,15.3,15.6,5.6,4.9
Lichenostomus fuscus,basal_oscine,80.0,69.0,19.3,16.0,14.9,4.7,4.4
Lichenostomus melanops,basal_oscine,79.0,72.0,20.7,12.6,18.0,6.2,5.2
Lichmera flavicans,basal_oscine,72.0,59.0,18.4,11.2,20.3,5.6,4.6
Macgregoria pulchra,basal_oscine,183.0,131.0,57.6,31.2,32.8,14.4,12.6
Malurus alboscapulatus,basal_oscine,49.5,36.5,21.1,13.4,13.1,5.8,4.1
Malurus cyaneus,basal_oscine,49.3,59.3,22.2,13.7,11.4,4.7,3.3
Malurus cyanocephalus,basal_oscine,60.0,59.0,22.4,14.1,18.8,7.4,4.3
Malurus grayi,basal_oscine,62.0,54.0,22.6,11.1,18.7,6.8,4.2
Malurus splendens,basal_oscine,55.0,59.0,23.9,11.0,9.8,6.2,4.1
Melilestes megarhynchus,basal_oscine,98.0,80.0,23.9,15.6,44.2,6.6,6.4
Meliphaga analoga,basal_oscine,80.0,59.0,22.5,13.7,20.0,7.2,5.6
Meliphaga reticulata,basal_oscine,77.0,67.0,22.2,13.7,20.6,6.6,5.3
Melipotes fumigatus,basal_oscine,107.0,92.0,28.7,16.6,22.1,8.1,6.7
Melithreptus brevirostris,basal_oscine,67.0,56.0,20.2,9.3,12.2,4.0,4.0
Melithreptus lunatus,basal_oscine,74.0,57.0,18.4,12.5,13.5,4.5,4.3
Menura alberti,basal_oscine,261.0,486.0,104.0,64.5,41.9,15.7,14.3
Menura novaehollandiae,basal_oscine,271.5,534.5,100.5,61.5,39.3,16.6,14.5
Myzomela eques,basal_oscine,68.0,54.0,16.6,10.5,21.9,4.2,3.8
Myzomela sanguinolenta,basal_oscine,58.0,36.0,13.5,11.7,14.1,3.9,3.3
Origma solitaria,basal_oscine,67.0,55.0,24.8,14.5,15.5,5.5,3.8
Orthonyx spaldingii,basal_oscine,118.8,106.3,45.0,26.9,23.9,10.6,9.1
Orthonyx temminckii,basal_oscine,88.8,78.8,32.0,20.5,16.1,7.6,6.8
Pardalotus punctatus,basal_oscine,57.0,29.0,16.5,12.0,7.2,4.7,4.1
Pardalotus striatus,basal_oscine,62.5,30.2,18.0,11.2,9.3,5.3,4.0
Philemon corniculatus,basal_oscine,155.0,128.0,30.6,24.9,35.4,8.2,9.9
Philemon meyeri,basal_oscine,109.0,93.0,23.2,15.2,32.8,7.6,7.2
Philemon novaeguineae,basal_oscine,149.0,123.0,34.6,21.4,43.3,8.6,10.0
Phylidonyris niger,basal_oscine,79.0,71.0,19.3,14.7,23.9,7.1,6.1
Pomatostomus isidorei,basal_oscine,112.3,111.8,32.3,24.4,28.5,7.6,8.0
Pomatostomus superciliosus,basal_oscine,74.0,76.0,26.6,18.9,24.2,6.3,6.5
Pomatostomus temporalis,basal_oscine,115.0,113.5,33.0,23.6,29.2,7.4,8.1
Prionodura newtoniana,basal_oscine,121.0,95.0,31.2,21.9,22.2,9.2,7.8
Ptilonorhynchus violaceus,basal_oscine,165.5,126.3,47.0,34.6,31.6,15.6,14.4
Ptiloprora guisei,basal_oscine,82.0,66.0,24.0,13.8,25.9,7.2,5.9
Pycnopygius ixoides,basal_oscine,90.0,73.0,19.8,11.2,21.2,5.6,5.1
Pycnopygius stictocephalus,basal_oscine,108.0,91.0,19.9,12.0,23.3,6.1,5.1
Scenopoeetes dentirostris,basal_oscine,144.5,123.5,34.1,25.9,30.2,17.4,16.9
Sericornis spilodera,basal_oscine,59.0,40.0,16.6,9.2,14.0,4.5,3.3
Sericulus aureus,basal_oscine,141.0,81.5,43.9,29.9,24.7,11.8,9.6
Sericulus chrysocephalus,basal_oscine,124.5,85.3,35.8,27.4,28.1,12.1,9.1
Sipodotus wallacii,basal_oscine,49.0,48.0,18.7,10.0,17.7,6.3,4.2
Stipiturus malachurus,basal_oscine,43.5,110.5,21.2,13.4,12.1,4.6,3.5
Stipiturus mallee,basal_oscine,41.5,76.5,15.8,10.8,12.4,4.1,3.1
Stipiturus ruficeps,basal_oscine,36.0,66.5,14.4,9.2,10.7,4.2,3.3
Xanthotis flaviventer,basal_oscine,102.0,84.0,24.0,12.8,30.1,6.9,6.3
Xanthotis polygrammus,basal_oscine,76.0,61.0,18.7,10.7,23.0,5.3,4.9
Aegithina lafresnayei,core_Corvoidea,68.0,60.0,20.0,12.5,21.0,8.9,7.1
Aegithina tiphia,core_Corvoidea,59.0,44.0,17.8,8.4,16.9,5.8,4.5
Aegithina viridissima,core_Corvoidea,64.0,44.0,17.3,7.6,18.5,5.8,4.5
Aleadryas rufinucha,core_Corvoidea,85.7,70.2,32.8,19.1,20.8,10.1,8.8
Androphobus viridis,core_Corvoidea,66.0,73.0,26.4,18.9,15.6,6.9,5.6
Aphelocoma californica,core_Corvoidea,125.0,136.0,41.1,22.7,30.6,12.4,10.8
Arses telescophthalmus,core_Corvoidea,79.0,67.0,16.0,10.1,17.5,5.8,4.2
Artamella viridis,core_Corvoidea,113.5,72.0,24.7,17.3,25.0,10.1,9.6
Artamus cyanopterus,core_Corvoidea,124.0,71.0,18.3,16.7,16.7,7.4,7.8
Artamus superciliosus,core_Corvoidea,125.0,78.0,18.1,19.4,19.8,7.6,7.1
Batis diops,core_Corvoidea,61.0,39.0,20.1,12.1,15.1,7.9,5.5
Batis fratrum,core_Corvoidea,58.5,33.5,19.5,11.1,16.5,7.5,5.0
Batis margaritae,core_Corvoidea,65.5,47.0,20.8,12.7,16.6,7.7,5.2
Bias musicus,core_Corvoidea,89.3,48.7,11.9,8.9,23.1,9.4,6.0
Calicalicus madagascariensis,core_Corvoidea,67.0,46.0,18.7,14.3,14.1,6.6,5.5
Calocitta formosa,core_Corvoidea,189.5,272.0,46.3,30.3,41.5,19.8,16.0
Campephaga quiscalina,core_Corvoidea,97.4,83.4,18.1,11.9,19.8,8.2,6.0
Campochaera sloetii,core_Corvoidea,102.0,93.0,19.4,14.6,15.2,9.5,5.9
Chaetorhynchus papuensis,core_Corvoidea,111.0,94.5,20.1,14.7,21.5,11.8,8.2
Chasiempis sandwichensis,core_Corvoidea,71.0,54.0,23.3,11.9,14.8,5.4,4.2
Cicinnurus magnificus,core_Corvoidea,113.0,50.0,31.3,22.5,25.7,11.9,8.8
Cicinnurus regius,core_Corvoidea,99.0,41.0,23.0,14.4,24.5,7.9,6.8
Cicinnurus respublica,core_Corvoidea,97.0,44.0,30.0,18.5,20.1,8.2,7.3
Cinclosoma ajax,core_Corvoidea,102.5,103.0,34.7,20.7,26.0,11.0,8.0
Cinclosoma punctatum,core_Corvoidea,110.5,117.0,32.9,22.3,22.1,9.5,7.2
Colluricincla harmonica,core_Corvoidea,125.0,104.0,29.8,23.8,24.7,6.5,8.3
Colluricincla megarhyncha,core_Corvoidea,94.5,74.0,23.4,16.4,22.1,8.5,7.6
Colluricincla tenebrosa,core_Corvoidea,90.0,87.0,29.3,18.5,22.8,11.3,9.4
Coracina azurea,core_Corvoidea,108.3,78.1,19.0,12.6,22.9,8.9,6.9
Coracina boyeri,core_Corvoidea,126.0,95.0,17.8,13.6,22.8,8.0,8.1
Coracina fimbriata,core_Corvoidea,91.7,81.7,18.2,13.3,18.8,8.6,5.8
Coracina melas,core_Corvoidea,122.0,99.0,20.0,13.6,25.2,8.3,7.1
Coracina novaehollandiae,core_Corvoidea,199.0,141.0,26.3,25.1,26.6,12.4,11.5
Coracina parvula,core_Corvoidea,144.0,100.0,23.5,18.4,27.5,14.5,9.9
Coracina tenuirostris,core_Corvoidea,117.5,103.5,23.5,17.9,27.5,12.2,9.8
Coracina typica,core_Corvoidea,106.4,79.5,26.1,19.3,22.7,11.4,8.1
Coracornis raveni,core_Corvoidea,80.0,68.5,23.6,14.5,16.2,7.7,5.7
Corcorax melanorhamphos,core_Corvoidea,241.7,210.7,65.4,41.3,46.2,14.9,15.6
Corvinella corvina,core_Corvoidea,123.0,152.0,31.2,22.9,22.5,13.1,11.5
Corvus brachyrhynchos,core_Corvoidea,311.0,197.5,59.9,38.2,52.6,21.1,20.8
Corvus corax,core_Corvoidea,433.0,270.0,62.1,46.1,79.6,34.2,31.6
Corvus corone,core_Corvoidea,306.0,210.0,52.2,35.2,52.4,21.2,19.3
Corvus enca,core_Corvoidea,314.0,162.0,48.9,31.1,64.1,17.1,18.9
Corvus jamaicensis,core_Corvoidea,231.0,140.5,49.0,33.8,49.5,24.6,22.9
Corvus macrorhynchos,core_Corvoidea,314.0,203.0,53.7,39.6,65.2,25.6,22.9
Corvus tristis,core_Corvoidea,318.0,230.0,53.0,35.3,64.9,19.4,24.0
Cracticus cassicus,core_Corvoidea,167.0,130.5,33.3,24.4,52.9,19.8,20.5
Cracticus nigrogularis,core_Corvoidea,148.0,107.0,27.6,21.9,38.4,15.4,14.8
Cracticus quoyi,core_Corvoidea,175.0,141.0,40.9,27.5,57.1,17.7,19.2
Cracticus torquatus,core_Corvoidea,134.5,112.0,28.8,20.5,36.9,15.5,14.3
Crypsirina temia,core_Corvoidea,112.0,168.0,27.4,18.1,25.9,11.8,12.5
Cyanocitta cristata,core_Corvoidea,134.0,129.0,35.0,20.5,28.4,10.6,9.4
Cyanocorax cristatellus,core_Corvoidea,194.0,141.0,47.3,31.2,36.1,18.5,16.7
