Species	Ecomorph	Snout-vent length	Head length	Head width	Head height	Pectoral width	Pelvis width	Lamellae 3rd foretoe	Lamellae 4th hindtoe	Humerus length	Ulna length	Phalanx I 3rd foretoe length	Fumer length	Tibia length	Phalanx I 3rd foretoe length	Phalanx II 4th hindtoe length
A. allisoni	TC	76.13	24.74	13.63	9.175	10.05	7.78	21.9	30	12.545	8.80925	2.85975	14.09675	12.565	7.17575	5.09
A. alutaceus	GB	35.5	10.1375	5.15	4.1375	4.2	2.94	11.6	17.167	5.195	3.92	1.105	9.6175	7.98	5.275	2.588
A. angusticeps	TW	42.125	12.7125	6.3125	4.975	4.9	4.0675	11.8	17.25	5.98	3.99	1.5	7.6575	5.8925	3.82425	2.0545
A. baleatus	CG	134.81446	39.11859	23.471072	20.594373	16.204663	12.042428	21.909639	33.072289	23.68288	18.084416	5.7835	29.084006	24.364813	14.781251	8.9782024
A. chlorocyanus	TC	64.605	18.6776	10.8715	7.9861	8.8272	6.5889	20.4316	29.2316	10.5816	7.895	2.67025	12.9704	10.8556	6.6504	4.24096
A. cuvieri	CG	127.25	37.925	22.35	21.35	13.95	13.05875	22	30	24.0375	17.8975	4.44075	33.045	26.4125	14.555	8.09
A. cybotes	TG	60.645	18.7265	12.6289	10.4521	8.4726	6.6126	11.6598	19.5876	11.9119	9.0461	3.34889	16.047	13.8179	8.6999	5.07785
A. distichus	T	48.696	13.2776	9.1782	6.6697	7.0246	5.8498	13.1176	20.1029	10.0668	8.0192	2.68886	11.8793	10.6632	6.0232	3.76592
A. equestris	CG	154.875	45.1125	28.8125	24.5625	18.05	15.55	33	42.333	27.805	18.78475	4.95075	30.92725	26.6	15.59925	8.031
A. evermanii	TC	62	17.175	10.4	7.3	7.9	6.785	20.3	25.8	12.06	8.665	2.98	14.375	12.935	7.535	4.825
A. garmani	CG	102.625	28.35	18.2125	15.25	13.4	11.32	21	28.4	19.175	12.875	3.9235	21.935	19.76	11.7575	7.26825
A. grahami	TC	55.125	17.2	10.85	8.3	8.2	6.1	18.4	25.9	10.6075	7.6425	2.3475	12.295	11.4575	6.965	3.975833333
A. gundlachi	TG	58.741	17.3266	10.6709	8.7165	8.3394	6.2386	11.038	19.2468	12.3828	9.0347	3.56384	16.999	14.9095	9.1863	5.51566
A. insolitus	TW	39.789	11.2212	5.2327	5.2405	4.2658	2.8954	10.3333	16	5.4838	3.5622	1.40779	8.0096	5.7206	3.3763	2.11238
A. lineatopus	TG	60.375	19.0625	11.8	9.7	8	6.4625	12.5	18.4	11.46	8.895	2.92	15.0175	13.2125	8.1625	4.9875
A. loysiana	T	38.5	10.9875	6.9625	4.775	5.2	4.05	11.9	17.5	6.63	4.985	1.52875	8.3775	6.2	4.08	2.5075
A. occultus	TW	38	9.9625	4.7625	4.3625	3.95	3.51	10	18	4.63	2.5625	1.173	5.78	4.0275	2.8675	1.57725
A. pulchellus	GB	46	13.9125	7.3125	6.675	5.5	4.17	12.1	17.8	7.3	5.50725	1.86	10.315	9.05	5.63	3.68
A. sagrei	TG	54.761	14.7701	9.4576	7.9773	7.6976	5.7857	11.1379	20.4971	10.0955	6.7753	2.75494	12.5869	10.7315	7.1599	4.39007
A. semilineatus	GB	37.818	11.068	5.31326	4.64925	4.32073	3.0230088	8.49	19.025	5.744795	4.1679	1.5117316	9.136385	8.2236473	5.6786759	3.1484286
A. valencienni	TW	81	23.4125	12.45	11.3375	8.8	7.49575	17.3	22.6	12.1625	8.738	2.64575	14.467	11.085	6.645	3.7925
